"","Site","Year","Subtype","OBJECTID","InvSpecies_1","InvSpecies_2","InvSpecies_3","InvSpecies_4","InvSpecies_5","Mature","Issue_Desc","Issue","Issue_LocationOrFeature","Treated","Percent_CoverAffected_Veg","FollowUpReq","Severity","CreationDate.x","Creator.x","EditDate.x","Editor.x","Percent_CoverAffected_1","Percent_CoverAffected_2","Percent_CoverAffected_3","Percent_CoverAffected_4","Percent_CoverAffected_5","Visibility_STEW","Visibility_MON","Resolved","Monitoring_Report","ISSUE_ID_","Shape__Area","Shape__Length","Treat_Desc","Contractor","InspDate","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Subtype.y","CreationDate.y","Creator.y","EditDate.y","Editor.y","Percent_CntrlEffective_","TreatDate","ISSUE_ID","CreationDate","Creator","EditDate","Editor","Percent_CoverAffected","Extent","Lead_Steward","GlobalID"
"11","Key Mill",2022,"Weed Occurrence",921,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,"26-50%",NA,NA,NA,NA,NA,NA,"No",NA,NA,5006.47619628906,380.140415069777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-27 11:23:30,"skirk1",2022-04-27 11:23:30,"skirk1",NA,NA,"Dominic","{40c0e431-c5ae-49e6-8592-a9f91d88d2d6}"
"12","Key Mill",2022,"Weed Occurrence",922,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,"6-25%",NA,NA,NA,NA,NA,NA,"No",NA,NA,4856.13037109375,459.131176358471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-27 11:26:02,"skirk1",2022-04-27 11:26:02,"skirk1",NA,NA,"Dominic","{f03ce15a-b364-48fa-9584-91b4beceabf9}"
"13","Key Mill",2022,"Weed Occurrence",923,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,"6-25%",NA,NA,NA,NA,NA,NA,"No",NA,NA,6008.32653808594,326.780609469308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-27 13:14:42,"skirk1",2022-04-27 13:14:42,"skirk1",NA,NA,"Dominic","{3d67d423-0399-41b6-a9d9-4a26d5925c49}"
"14","Key Mill",2022,"Weed Occurrence",593,"Tree Of Heaven",NA,NA,NA,NA,"Yes",NA,NA,NA,"No",NA,"Yes","High",NA,NA,NA,NA,"76-100%",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-27 13:17:22,"skirk1",2022-04-27 13:17:22,"skirk1",NA,NA,"Dominic","{65c213f8-e557-45ea-95c5-5b9f1d2fd8ae}"
"15","Key Mill",2021,"Needs Livestakes",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,111.101534445654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-09-14 16:50:57,"skirk1",2021-09-14 16:50:57,"skirk1",NA,NA,"Dominic","{cd4c4f36-b29d-4f31-8c2f-1866a3fc4160}"
"16","Key Mill",2021,"Needs Livestakes",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,13.9595329238221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03 10:32:58,"hreed1",2022-01-03 10:32:58,"hreed1",NA,NA,"Dominic","{fdb398be-090a-499e-903b-a263094992f9}"
"17","Key Mill",2021,"Needs Livestakes",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,19.4195129352329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03 11:17:00,"hreed1",2022-01-03 11:17:00,"hreed1",NA,NA,"Dominic","{5b1e30f4-5f82-4127-9f3c-012e7d47a42e}"
"18","Key Mill",2021,"Needs Livestakes",212,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,16.8491682336263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03 11:23:34,"hreed1",2022-01-03 11:23:34,"hreed1",NA,NA,"Dominic","{d804f609-7e20-4c2b-9731-f04ab9fe2d3a}"
"19","Key Mill",2021,"Needs Livestakes",213,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,17.4114178517257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03 11:49:57,"hreed1",2022-08-22 10:44:48,"lcostes",NA,NA,"Dominic","{4b101d53-86e3-47c7-9390-4d49f3b1a636}"
"20","Key Mill",2021,"Needs Livestakes",215,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,23.3283627652449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-03 13:42:29,"hreed1",2022-01-03 13:42:29,"hreed1",NA,NA,"Dominic","{43d1968f-583c-4385-beb1-60de389cb59a}"
